id,year,statistic,name,team,value,top_25
320,1936,Complete Games,Wes Ferrell,Boston,28,Top 25
321,1936,ERA,Lefty Grove,Philadelphia,2.81,Top 25
322,1936,Games,Russ Van Atta,St. Louis,52,Top 25
323,1936,Saves,Pat Malone,New York,9,Top 25
324,1936,Shutouts,Lefty Grove,Philadelphia,6,Top 25
325,1936,Strikeouts,Tommy Bridges,Detroit,175,Top 25
326,1936,Winning Percentage,Bump Hadley,New York,.778,Top 25
327,1936,Wins,Tommy Bridges,Detroit,23,Top 25
328,1937,Complete Games,Wes Ferrell,Boston,26,Top 25
329,1937,Complete Games,Wes Ferrell,Washington,26,Top 25
330,1937,ERA,Lefty Gomez,New York,2.33,Top 25
331,1937,Games,Clint Brown,Chicago,53,Top 25
332,1937,Saves,Clint Brown,Chicago,18,Top 25
333,1937,Shutouts,Lefty Gomez,New York,6,Top 25
334,1937,Strikeouts,Lefty Gomez,New York,194,Top 25
335,1937,Winning Percentage,Johnny Allen,Cleveland,.938,Top 25
336,1938,Complete Games,Bobo Newsom,St. Louis,31,Top 25
337,1938,ERA,Lefty Grove,Boston,3.08,Top 25
338,1938,Games,Johnny Humphries,Cleveland,45,Top 25
339,1938,Saves,Johnny Murphy,New York,11,Top 25
340,1938,Shutouts,Lefty Gomez,New York,4,Top 25
341,1938,Strikeouts,Bob Feller,Cleveland,240,Top 25
342,1938,Winning Percentage,Red Ruffing,New York,.750,Top 25
343,1939,Complete Games,Bobo Newsom,St. Louis,24,Top 25
344,1939,Complete Games,Bobo Newsom,Detroit,24,Top 25
345,1939,ERA,Lefty Grove,Boston,2.54,Top 25
346,1939,Games,Clint Brown,Chicago,61,Top 25
347,1939,Saves,Johnny Murphy,New York,19,Top 25
348,1939,Shutouts,Red Ruffing,New York,5,Top 25
349,1939,Strikeouts,Bob Feller,Cleveland,246,Top 25
350,1939,Winning Percentage,Lefty Grove,Boston,.789,Top 25
351,1940,Complete Games,Bob Feller,Cleveland,31,Top 25
352,1940,ERA,Bob Feller,Cleveland,2.61,Top 25
353,1940,Games,Bob Feller,Cleveland,43,Top 25
354,1940,Saves,Al Benton,Detroit,17,Top 25
355,1940,Shutouts,Bob Feller,Cleveland,4,Top 25
356,1940,Shutouts,Ted Lyons,Chicago,4,Top 25
357,1940,Shutouts,Al Milnar,Cleveland,4,Top 25
358,1940,Strikeouts,Bob Feller,Cleveland,261,Top 25
359,1940,Winning Percentage,Schoolboy Rowe,Detroit,.842,Top 25
360,1941,Complete Games,Thornton Lee,Chicago,30,Top 25
361,1941,ERA,Thornton Lee,Chicago,2.37,Top 25
362,1941,Games,Bob Feller,Cleveland,44,Top 25
363,1941,Saves,Johnny Murphy,New York,15,Top 25
364,1941,Shutouts,Bob Feller,Cleveland,6,Top 25
365,1941,Strikeouts,Bob Feller,Cleveland,260,Top 25
366,1941,Winning Percentage,Lefty Gomez,New York,.750,Top 25
367,1941,Wins,Bob Feller,Cleveland,25,Top 25
368,1942,Complete Games,Tiny Bonham,New York,22,Top 25
369,1942,Complete Games,Tex Hughson,Boston,22,Top 25
370,1942,ERA,Ted Lyons,Chicago,2.10,Top 25
371,1942,Games,Joe Haynes,Chicago,40,Top 25
372,1942,Saves,Johnny Murphy,New York,11,Top 25
373,1942,Shutouts,Tiny Bonham,New York,6,Top 25
374,1942,Strikeouts,Tex Hughson,Boston,113,Top 25
375,1942,Strikeouts,Bobo Newsom,Washington,113,Top 25
376,1942,Winning Percentage,Tiny Bonham,New York,.808,Top 25
377,1942,Wins,Tex Hughson,Boston,22,Top 25
378,1943,Complete Games,Spud Chandler,New York,20,Top 25
379,1943,Complete Games,Tex Hughson,Boston,20,Top 25
380,1943,ERA,Spud Chandler,New York,1.64,Top 25
381,1943,Games,Mace Brown,Boston,49,Top 25
