id,year,statistic,name,team,value,top_25
337,1927,,Babe Ruth,New York,158.0,Top 25
338,1927,,Babe Ruth,New York,0.772,Top 25
339,1927,,George Sisler,St. Louis,27.0,Top 25
340,1927,,Lou Gehrig,New York,447.0,Top 25
341,1927,,Earle Combs,New York,23.0,Top 25
342,1928,,Babe Ruth,New York,137.0,Top 25
343,1928,,Goose Goslin,Washington,0.379,Top 25
344,1928,,Lou Gehrig,New York,47.0,Top 25
345,1928,,Henie Manush,St. Louis,47.0,Top 25
346,1928,,Henie Manush,St. Louis,241.0,Top 25
347,1928,,Babe Ruth,New York,54.0,Top 25
348,1928,,Lou Gehrig,New York,0.467,Top 25
349,1928,,Lou Gehrig,New York,142.0,Top 25
350,1928,,Babe Ruth,New York,142.0,Top 25
351,1928,,Babe Ruth,New York,163.0,Top 25
352,1928,,Babe Ruth,New York,0.709,Top 25
353,1928,,Buddy Myer,Boston,30.0,Top 25
354,1928,,Babe Ruth,New York,380.0,Top 25
355,1929,,Max Bishop,Philadelphia,128.0,Top 25
356,1929,,Lew Fonseca,Cleveland,0.369,Top 25
357,1929,,Charlie Gehringer,Detroit,45.0,Top 25
358,1929,,Roy Johnson,Detroit,45.0,Top 25
359,1929,,Henie Manush,St. Louis,45.0,Top 25
360,1929,,Dale Alexander,Detroit,215.0,Top 25
361,1929,,Charlie Gehringer,Detroit,215.0,Top 25
362,1929,,Babe Ruth,New York,46.0,Top 25
363,1929,,Jimmie Foxx,Philadelphia,0.463,Top 25
364,1929,,Al Simmons,Philadelphia,157.0,Top 25
365,1929,,Charlie Gehringer,Detroit,131.0,Top 25
366,1929,,Babe Ruth,New York,0.697,Top 25
367,1929,,Charlie Gehringer,Detroit,27.0,Top 25
368,1929,,Al Simmons,Philadelphia,373.0,Top 25
369,1930,,Babe Ruth,New York,136.0,Top 25
370,1930,,Al Simmons,Philadelphia,0.381,Top 25
371,1930,,Johnny Hodapp,Cleveland,51.0,Top 25
372,1930,,Johnny Hodapp,Cleveland,225.0,Top 25
373,1930,,Babe Ruth,New York,49.0,Top 25
374,1930,,Babe Ruth,New York,0.493,Top 25
375,1930,,Lou Gehrig,New York,174.0,Top 25
376,1930,,Al Simmons,Philadelphia,152.0,Top 25
377,1930,,Babe Ruth,New York,0.732,Top 25
378,1930,,Marty McManus,Detroit,23.0,Top 25
379,1930,,Lou Gehrig,New York,419.0,Top 25
380,1931,,Babe Ruth,New York,128.0,Top 25
381,1931,,Al Simmons,Philadelphia,0.39,Top 25
382,1931,,Earl Webb,Boston,67.0,Top 25
383,1931,,Lou Gehrig,New York,211.0,Top 25
384,1931,,Lou Gehrig,New York,46.0,Top 25
385,1931,,Babe Ruth,New York,46.0,Top 25
386,1931,,Babe Ruth,New York,0.495,Top 25
387,1931,,Lou Gehrig,New York,184.0,Top 25
388,1931,,Lou Gehrig,New York,163.0,Top 25
389,1931,,Babe Ruth,New York,0.7,Top 25
390,1931,,Ben Chapman,New York,61.0,Top 25
391,1931,,Lou Gehrig,New York,410.0,Top 25
392,1932,,Babe Ruth,New York,130.0,Top 25
393,1932,,Dale Alexander *,Detroit,0.367,Top 25
394,1932,,Dale Alexander *,Boston,0.367,Top 25
395,1932,,* NOT on Top 25 List — Had Fewer Than 400 ABs,Boston,0.367,Top 25
396,1932,,Eric McNair,Philadelphia,47.0,Top 25
397,1932,,Al Simmons,Philadelphia,216.0,Top 25
398,1932,,Jimmie Foxx,Philadelphia,58.0,Top 25
399,1932,,Babe Ruth,New York,0.489,Top 25
400,1932,,Jimmie Foxx,Philadelphia,169.0,Top 25
401,1932,,Jimmie Foxx,Philadelphia,151.0,Top 25
402,1932,,Jimmie Foxx,Philadelphia,0.749,Top 25
403,1932,,Ben Chapman,New York,38.0,Top 25
404,1932,,Jimmie Foxx,Philadelphia,438.0,Top 25
405,1932,,Joe Cronin,Washington,18.0,Top 25
406,1933,,Babe Ruth,New York,114.0,Top 25
407,1933,,Jimmie Foxx,Philadelphia,0.356,Top 25
408,1933,,Joe Cronin,Washington,45.0,Top 25
409,1933,,Heinie Manush,Washington,221.0,Top 25
410,1933,,Jimmie Foxx,Philadelphia,48.0,Top 25
411,1933,,Mickey Cochrane,Philadelphia,0.459,Top 25
412,1933,,Jimmie Foxx,Philadelphia,163.0,Top 25
413,1933,,Lou Gehrig,New York,138.0,Top 25
414,1933,,Jimmie Foxx,Philadelphia,0.703,Top 25
415,1933,,Ben Chapman,New York,27.0,Top 25
416,1933,,Jimmie Foxx,Philadelphia,403.0,Top 25
417,1934,,Jimmie Foxx,Philadelphia,111.0,Top 25
418,1934,,Lou Gehrig,New York,0.363,Top 25
419,1934,,Hank Greenberg,Detroit,63.0,Top 25
420,1934,,Charlie Gehringer,Detroit,214.0,Top 25
421,1934,,Lou Gehrig,New York,44.0,Top 25
422,1934,,Lou Gehrig,New York,0.465,Top 25
423,1934,,Lou Gehrig,New York,165.0,Top 25
424,1934,,Charlie Gehringer,Detroit,134.0,Top 25
425,1934,,Lou Gehrig,New York,0.706,Top 25
426,1934,,Billy Werber,Boston,40.0,Top 25
427,1934,,Lou Gehrig,New York,409.0,Top 25
428,1935,,Lou Gehrig,New York,132.0,Top 25
429,1935,,Buddy Myer,Washington,0.349,Top 25
430,1935,,Joe Vosmik,Cleveland,47.0,Top 25
431,1935,,Joe Vosmik,Cleveland,216.0,Top 25
432,1935,,Jimmie Foxx,Philadelphia,36.0,Top 25
