id,year,statistic,team,value
id,year,statistic,Team,
391,1952,Fewest Hits Allowed,New York,1.0
392,1952,Fewest Home Runs Allowed,Washington,78.0
393,1952,Fewest Walks Allowed,Philadelphia,526.0
394,1952,Saves,Chicago,28.0
395,1953,Complete Games,Cleveland,81.0
396,1953,ERA,New York,3.21
397,1953,Fewest Hits Allowed,New York,1.0
398,1953,Fewest Home Runs Allowed,Boston,92.0
399,1953,Fewest Home Runs Allowed,Cleveland,92.0
400,1953,Fewest Walks Allowed,Washington,478.0
401,1953,Saves,New York,39.0
402,1954,Complete Games,Cleveland,77.0
403,1954,ERA,Cleveland,2.79
404,1954,Fewest Hits Allowed,Cleveland,1.0
405,1954,Fewest Home Runs Allowed,Baltimore,78.0
406,1954,Fewest Walks Allowed,Cleveland,486.0
407,1954,Saves,New York,37.0
408,1955,Complete Games,Detroit,66.0
409,1955,ERA,New York,3.23
410,1955,Fewest Hits Allowed,New York,1.0
411,1955,Fewest Home Runs Allowed,Washington,99.0
412,1955,Fewest Walks Allowed,Chicago,497.0
413,1955,Saves,Cleveland,36.0
414,1956,Complete Games,Cleveland,67.0
415,1956,ERA,Cleveland,3.33
416,1956,Fewest Hits Allowed,Cleveland,1.0
417,1956,Fewest Home Runs Allowed,Baltimore,99.0
418,1956,Fewest Walks Allowed,Chicago,524.0
419,1956,Saves,New York,35.0
420,1957,Complete Games,Chicago,59.0
421,1957,ERA,New York,3.0
422,1957,Fewest Hits Allowed,New York,1.0
423,1957,Fewest Home Runs Allowed,Baltimore,95.0
424,1957,Fewest Walks Allowed,Chicago,470.0
425,1957,Saves,New York,42.0
426,1958,Complete Games,Detroit,59.0
427,1958,ERA,New York,3.22
428,1958,Fewest Hits Allowed,New York,1.0
429,1958,Fewest Home Runs Allowed,Baltimore,106.0
430,1958,Fewest Walks Allowed,Baltimore,403.0
431,1958,Saves,New York,33.0
432,1959,Complete Games,Cleveland,58.0
433,1959,ERA,Chicago,3.29
434,1959,Fewest Hits Allowed,Cleveland,1.0
435,1959,Fewest Home Runs Allowed,Baltimore,111.0
436,1959,Fewest Walks Allowed,Detroit,432.0
437,1959,Saves,Chicago,36.0
438,1959,Shutouts,Baltimore,15.0
439,1960,Complete Games,Baltimore,48.0
440,1960,ERA,New York,3.52
441,1960,Fewest Hits Allowed,Baltimore,1.0
442,1960,Fewest Home Runs Allowed,Baltimore,117.0
443,1960,Fewest Walks Allowed,Detroit,474.0
444,1960,Saves,New York,42.0
445,1961,Complete Games,Detroit,62.0
446,1961,ERA,Baltimore,3.22
447,1961,Fewest Hits Allowed,Baltimore,1.0
448,1961,Fewest Home Runs Allowed,Baltimore,109.0
449,1961,Fewest Walks Allowed,Detroit,469.0
450,1961,Saves,New York,39.0
451,1961,Shutouts,Baltimore,21.0
452,1962,Complete Games,Minnesota,53.0
453,1962,ERA,Baltimore,3.7
454,1962,Fewest Hits Allowed,Baltimore,1.0
455,1962,Fewest Home Runs Allowed,Los Angeles,118.0
456,1962,Fewest Walks Allowed,Minnesota,493.0
457,1962,Saves,Los Angeles,47.0
458,1963,Complete Games,New York,59.0
459,1963,ERA,Chicago,2.98
460,1963,Fewest Hits Allowed,New York,1.0
461,1963,Fewest Home Runs Allowed,Chicago,100.0
462,1963,Fewest Walks Allowed,Chicago,440.0
463,1963,Saves,Baltimore,43.0
464,1964,Complete Games,Minnesota,47.0
465,1964,ERA,Chicago,2.73
466,1964,Fewest Hits Allowed,Chicago,1.0
467,1964,Fewest Home Runs Allowed,Los Angeles,100.0
468,1964,Fewest Walks Allowed,Chicago,401.0
469,1964,Saves,Chicago,45.0
470,1964,Saves,New York,45.0
471,1965,Complete Games,Detroit,45.0
472,1965,ERA,Baltimore,2.98
473,1965,Fewest Hits Allowed,Cleveland,1.0
474,1965,Fewest Home Runs Allowed,California,91.0
475,1965,Fewest Walks Allowed,Chicago,460.0
476,1965,Saves,Chicago,53.0
477,1965,Shutouts,Baltimore,15.0
478,1966,Complete Games,Minnesota,52.0
479,1966,ERA,Chicago,2.69
480,1966,Fewest Hits Allowed,Chicago,1.0
481,1966,Fewest Home Runs Allowed,Chicago,101.0
482,1966,Fewest Walks Allowed,Minnesota,392.0
483,1966,Saves,Baltimore,51.0
484,1966,Shutouts,Chicago,22.0
485,1966,Strikeouts,Cleveland,1.0
486,1967,Complete Games,Minnesota,58.0
487,1967,ERA,Chicago,2.45
488,1967,Fewest Hits Allowed,Chicago,1.0
489,1967,Fewest Home Runs Allowed,Chicago,87.0
490,1967,Fewest Walks Allowed,Minnesota,396.0
491,1967,Saves,California,46.0
492,1967,Shutouts,Chicago,24.0
493,1968,Complete Games,Detroit,59.0
494,1968,ERA,Cleveland,2.66
495,1968,Fewest Hits Allowed,Cleveland,1.0
496,1968,Fewest Home Runs Allowed,Minnesota,92.0
497,1968,Fewest Walks Allowed,Minnesota,414.0
498,1968,Saves,Chicago,40.0
499,1969,Complete Games,Detroit,55.0
500,1969,ERA,Baltimore,2.83
501,1969,Fewest Hits Allowed,Baltimore,1.0
502,1969,Fewest Home Runs Allowed,Baltimore,117.0
503,1969,Fewest Walks Allowed,Baltimore,498.0
504,1969,Saves,Minnesota,43.0
505,1969,Shutouts,Baltimore,20.0
506,1970,Complete Games,Baltimore,60.0
507,1970,ERA,Baltimore,3.15
508,1970,Fewest Hits Allowed,Oakland,1.0
509,1970,Fewest Home Runs Allowed,Minnesota,130.0
510,1970,Fewest Home Runs Allowed,New York,130.0
511,1970,Fewest Walks Allowed,New York,451.0
512,1970,Saves,Minnesota,58.0
513,1971,Complete Games,Baltimore,71.0
514,1971,ERA,Baltimore,2.99
515,1971,Fewest Hits Allowed,Oakland,1.0
516,1971,Fewest Home Runs Allowed,Kansas City,84.0
517,1971,Fewest Walks Allowed,Baltimore,416.0
518,1971,Saves,Kansas City,44.0
519,1971,Shutouts,Milwaukee,23.0
520,1972,Complete Games,Baltimore,62.0
521,1972,ERA,Baltimore,2.53
522,1972,Fewest Hits Allowed,California,1.0
523,1972,Fewest Home Runs Allowed,Baltimore,85.0
524,1972,Fewest Home Runs Allowed,Kansas City,85.0
525,1972,Fewest Walks Allowed,Baltimore,395.0
526,1972,Saves,Oakland,43.0
527,1973,Complete Games,California,72.0
528,1973,ERA,Baltimore,3.07
529,1973,Fewest Hits Allowed,Baltimore,1.0
530,1973,Fewest Home Runs Allowed,California,104.0
531,1973,Fewest Walks Allowed,New York,457.0
532,1973,Saves,Detroit,46.0
533,1974,Complete Games,Boston,71.0
534,1974,ERA,Oakland,2.96
535,1974,Fewest Hits Allowed,Oakland,1.0
536,1974,Fewest Home Runs Allowed,Oakland,90.0
537,1974,Fewest Walks Allowed,Oakland,430.0
538,1974,Saves,Chicago,29.0
539,1974,Saves,Minnesota,29.0
540,1974,Shutouts,Baltimore,16.0
541,1975,Complete Games,Baltimore,70.0
542,1975,Complete Games,New York,70.0
543,1975,ERA,Baltimore,3.17
544,1975,Fewest Hits Allowed,Oakland,1.0
545,1975,Fewest Home Runs Allowed,Oakland,102.0
546,1975,Fewest Walks Allowed,Boston,490.0
547,1975,Saves,Oakland,44.0
548,1975,Shutouts,Baltimore,19.0
549,1976,Complete Games,California,64.0
550,1976,ERA,New York,3.2
