id,year,statistic,name,team,value,top_25
175,1919,,Jim Shaw,Washington,45.0,Top 25
176,1919,,Allan Russell,New York,5.0,Top 25
177,1919,,Allan Russell,Boston,5.0,Top 25
178,1919,,Bob Shawkey,New York,5.0,Top 25
179,1919,,Jim Shaw,Washington,5.0,Top 25
180,1919,,Walter Johnson,Washington,7.0,Top 25
181,1919,,Walter Johnson,Washington,147.0,Top 25
182,1919,,Eddie Cicotte,Chicago,0.806,Top 25
183,1919,,Eddie Cicotte,Chicago,29.0,Top 25
184,1920,,Jim Bagby,Cleveland,30.0,Top 25
185,1920,,Bob Shawkey,New York,2.45,Top 25
186,1920,,Jim Bagby,Cleveland,48.0,Top 25
187,1920,,Dickie Kerr,Chicago,5.0,Top 25
188,1920,,Urban Shocker,St. Louis,5.0,Top 25
189,1920,,Carl Mays,New York,6.0,Top 25
190,1920,,Stan Coveleski,Cleveland,133.0,Top 25
191,1920,,Jim Bagby,Cleveland,0.721,Top 25
192,1920,,Jim Bagby,Cleveland,31.0,Top 25
193,1921,,Red Faber,Chicago,32.0,Top 25
194,1921,,Red Faber,Chicago,2.48,Top 25
195,1921,,Carl Mays,New York,49.0,Top 25
196,1921,,Carl Mays,New York,7.0,Top 25
197,1921,,Jim Middleton,Detroit,7.0,Top 25
198,1921,,Sam Jones,Boston,5.0,Top 25
199,1921,,Walter Johnson,Washington,143.0,Top 25
200,1921,,Carl Mays,New York,0.75,Top 25
201,1921,,Carl Mays,New York,27.0,Top 25
202,1921,,Urban Shocker,St. Louis,27.0,Top 25
203,1922,,Red Faber,Chicago,31.0,Top 25
204,1922,,Red Faber,Chicago,2.81,Top 25
205,1922,,Eddie Rommel,Philadelphia,51.0,Top 25
206,1922,,Sam Jones,New York,8.0,Top 25
207,1922,,George Uhle,Cleveland,5.0,Top 25
208,1922,,Urban Shocker,St. Louis,149.0,Top 25
209,1922,,Joe Bush,New York,0.788,Top 25
210,1922,,Eddie Rommel,Philadelphia,27.0,Top 25
211,1923,,George Uhle,Cleveland,29.0,Top 25
212,1923,,Stan Coveleski,Cleveland,2.76,Top 25
213,1923,,Eddie Rommel,Philadelphia,56.0,Top 25
214,1923,,Allan Russell,Washington,9.0,Top 25
215,1923,,Stan Coveleski,Cleveland,5.0,Top 25
216,1923,,Walter Johnson,Washington,130.0,Top 25
217,1923,,Herb Pennock,New York,0.76,Top 25
218,1924,,Sloppy Thurston,Chicago,28.0,Top 25
219,1924,,Walter Johnson,Washington,2.72,Top 25
220,1924,,Firpo Marberry,Washington,50.0,Top 25
221,1924,,Firpo Marberry,Washington,15.0,Top 25
222,1924,,Walter Johnson,Washington,6.0,Top 25
223,1924,,Walter Johnson,Washington,158.0,Top 25
224,1924,,Walter Johnson,Washington,0.767,Top 25
225,1925,,Howard Ehmke,Boston,22.0,Top 25
226,1925,,Sherry Smith,Cleveland,22.0,Top 25
227,1925,,Stan Coveleski,Washington,2.84,Top 25
228,1925,,Firpo Marberry,Washington,55.0,Top 25
229,1925,,Firpo Marberry,Washington,15.0,Top 25
230,1925,,Ted Lyons,Chicago,5.0,Top 25
231,1925,,Lefty Grove,Philadelphia,116.0,Top 25
232,1925,,Stan Coveleski,Washington,0.8,Top 25
233,1925,,Ted Lyons,Chicago,21.0,Top 25
