id,year,statistic,name,team,value,top_25
177,1914,Stolen Bases,Fritz Maisel,New York,74,Top 25
178,1914,Total Bases,Tris Speaker,Boston,287,Top 25
179,1914,Triples,Sam Crawford,Detroit,26,Top 25
180,1915,Base on Balls,Eddie Collins,Chicago,119,Top 25
181,1915,Batting Average,Ty Cobb,Detroit,.369,Top 25
182,1915,Doubles,Bobby Veach,Detroit,40,Top 25
183,1915,Hits,Ty Cobb,Detroit,208,Top 25
184,1915,Home Runs,Braggo Roth,Chicago,7,Top 25
185,1915,Home Runs,Braggo Roth,Cleveland,7,Top 25
186,1915,On Base Percentage,Ty Cobb,Detroit,.486,Top 25
187,1915,RBI,Sam Crawford,Detroit,112,Top 25
188,1915,RBI,Bobby Veach,Detroit,112,Top 25
189,1915,Runs,Ty Cobb,Detroit,144,Top 25
190,1915,Slugging Average,Jack Fournier,Chicago,.491,Top 25
191,1915,Stolen Bases,Ty Cobb,Detroit,96,Top 25
192,1915,Total Bases,Ty Cobb,Detroit,274,Top 25
193,1915,Triples,Sam Crawford,Detroit,19,Top 25
194,1916,Base on Balls,Burt Shotton,St. Louis,110,Top 25
195,1916,Batting Average,Tris Speaker,Cleveland,.386,Top 25
196,1916,Doubles,Jack Graney,Cleveland,41,Top 25
197,1916,Doubles,Tris Speaker,Cleveland,41,Top 25
198,1916,Hits,Tris Speaker,Cleveland,211,Top 25
199,1916,Home Runs,Wally Pipp,New York,12,Top 25
200,1916,On Base Percentage,Tris Speaker,Cleveland,.470,Top 25
201,1916,RBI,Del Pratt,St. Louis,103,Top 25
202,1916,Runs,Ty Cobb,Detroit,113,Top 25
203,1916,Slugging Average,Tris Speaker,Cleveland,.502,Top 25
204,1916,Stolen Bases,Ty Cobb,Detroit,68,Top 25
205,1916,Total Bases,Joe Jackson,Chicago,293,Top 25
206,1916,Triples,Joe Jackson,Chicago,21,Top 25
207,1917,Base on Balls,Jack Graney,Cleveland,94,Top 25
208,1917,Batting Average,Ty Cobb,Detroit,.383,Top 25
209,1917,Doubles,Ty Cobb,Detroit,44,Top 25
210,1917,Hits,Ty Cobb,Detroit,225,Top 25
211,1917,Home Runs,Wally Pipp,New York,9,Top 25
212,1917,On Base Percentage,Ty Cobb,Detroit,.444,Top 25
213,1917,RBI,Bobby Veach,Detroit,103,Top 25
214,1917,Runs,Donie Bush,Detroit,112,Top 25
215,1917,Slugging Average,Ty Cobb,Detroit,.570,Top 25
216,1917,Stolen Bases,Ty Cobb,Detroit,55,Top 25
217,1917,Total Bases,Ty Cobb,Detroit,335,Top 25
218,1917,Triples,Ty Cobb,Detroit,24,Top 25
219,1918,Base on Balls,Ray Chapman,Cleveland,84,Top 25
220,1918,Batting Average,Ty Cobb,Detroit,.382,Top 25
221,1918,Doubles,Tris Speaker,Cleveland,33,Top 25
222,1918,Hits,George Burns,Philadelphia,178,Top 25
223,1918,Home Runs,Babe Ruth,Boston,11,Top 25
224,1918,Home Runs,Tilly Walker,Philadelphia,11,Top 25
225,1918,On Base Percentage,Ty Cobb,Detroit,.440,Top 25
226,1918,RBI,Bobby Veach,Detroit,78,Top 25
227,1918,Runs,Ray Chapman,Cleveland,84,Top 25
228,1918,Slugging Average,Babe Ruth,Boston,.555,Top 25
229,1918,Stolen Bases,George Sisler,St. Louis,45,Top 25
230,1918,Total Bases,George Burns,Philadelphia,236,Top 25
231,1918,Triples,Ty Cobb,Detroit,14,Top 25
232,1919,Base on Balls,Jack Graney,Cleveland,105,Top 25
233,1919,Batting Average,Ty Cobb,Detroit,.384,Top 25
234,1919,Doubles,BobbyVeach,Detroit,45,Top 25
235,1919,Hits,Ty Cobb,Detroit,191,Top 25
236,1919,Hits,BobbyVeach,Detroit,191,Top 25
237,1919,Home Runs,Babe Ruth,Boston,29,Top 25
238,1919,On Base Percentage,Babe Ruth,Boston,.456,Top 25
239,1919,RBI,Babe Ruth,Boston,114,Top 25
240,1919,Runs,Babe Ruth,Boston,103,Top 25
241,1919,Slugging Average,Babe Ruth,Boston,.657,Top 25
